col_oslnp,col_29p4d,col_4bzl7,col_g4elm,col_0l637,col_3zius,col_k7ayf,col_eph8l,col_9t29s,col_4gmox,col_l4kuj,col_lyhls,col_ky2iy,col_gkyng,col_q01lh,col_fe2jd,col_b0oll,col_dwe97,col_q9rrk,col_mkc8l,col_sxciu,col_ahvgp,col_2me64,col_eo0va,col_6v7c9,col_md150,col_grbeg,col_jleb4,col_hc7wj,col_eun3m,col_m74pu,col_ghi4z,col_y88mx,col_wv5nq,col_ur3w6,col_dyf88,col_i6wfm,col_riwps,col_rj5ld,col_be67j,col_0jjaa,target
22.0,156.0,25.0,5.8,9.8,664.0,2.32262569832402,13.5,1.04065040650407,0.1,2.0,1.0,0.21,226.0,256.0,0,0,0,1,0,1,0,0,0.4623430962343096,1.0,0.0,0.0,0.0,0,0,0,0,0.0,1,0.0,0,1,1.0,1,1,0,0
40.0,127.0,12.0,5.8,9.8,664.0,2.32262569832402,0.6,0.837301587301587,0.1,2.0,1.0,1.89,317.0,211.0,0,0,0,0,0,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,1,0.125,0,0,1.0,0,0,0,0
56.0,4.0,18.0,5.8,2.21,720.0,3.2,0.14,1.14666666666667,0.1,1.5,1.0,1.89,317.0,258.0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0,1,0,1,0.0,1,0.0,0,0,1.0,0,0,0,0
42.0,89.0,9.0,2.2,2.7,645.0,2.27112676056338,0.3,0.880281690140845,0.1,1.0,1.0,1.89,317.0,250.0,0,0,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0
43.0,122.0,7.0,5.1,13.7,747.0,2.630281690140845,1.6,0.788732394366197,0.1,1.0,1.0,23.5,633.0,224.0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,1,1,0.0,1,0.0,0,0,0.0,0,1,0,0
60.0,123.0,7.0,4.2,2.8,615.0,2.73333333333333,0.8,0.995555555555556,0.1,1.0,1.0,0.573,106.0,224.0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,0.0,1,0,0.0,0,1,0,0
30.0,127.0,35.0,80.0,80.0,1107.0,3.09217877094972,3.7,0.513966480446927,0.1,1.0,1.0,1.39,524.0,184.0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,1.0,1,1.0,1,1,1.0,1,1,0,0
51.0,132.0,20.0,0.9,3.2,448.0,1.77777777777778,1.6,0.967914438502674,0.1,1.0,1.0,1.89,317.0,181.0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0,0.125,1,0,0.0,0,0,0,0
37.0,83.0,19.0,5.8,3.2,609.0,2.1443661971831,0.65,0.779904306220096,0.1,1.0,1.0,9.0,298.7,163.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1.0,0,0.0,0,0,1.0,0,1,0,0
35.0,192.0,17.0,4.43,7.33,695.0,1.941340782122905,1.6,0.633064516129032,0.1,1.0,1.0,1.89,317.0,157.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0,1,1.0,0,0,0,0
42.0,118.0,31.0,33.0,80.0,718.0,2.528169014084507,1.65,0.435483870967742,0.1,1.0,1.0,1.7,271.0,108.0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,0.0,0,0.0,0,0,1.0,0,1,0,0
55.0,156.0,5.0,1.21,1.27,390.0,1.73333333333333,0.76,0.283,0.1,0.0,1.0,1.89,317.0,56.6,1,1,0,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,1,0.0,0,0,0.0,0,0,0,0
23.0,40.0,22.0,50.0,75.0,608.0,1.69832402234637,4.7,0.499068901303538,0.1,4.5,0.0,2.01,790.0,268.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,0.0,1,0.0,1,0,1.0,0,0,0,0
38.0,135.0,12.5,45.2,35.3,1492.0,5.253521126760563,14.4,0.930167597765363,0.1,3.5,0.0,4.59,474.0,243.0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,1,1.0,0,0,1.0,1,1,0,0
32.0,82.0,26.0,9.75,25.0,1600.0,5.21172638436482,14.4,1.80497925311203,0.1,2.5,0.0,5.1,862.0,435.0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1.0,1,1.0,1,1,1.0,1,1,0,0
27.0,84.0,13.0,1.3,8.3,402.0,1.12290502793296,4.43,0.476722532588454,0.1,1.5,0.0,1.89,317.0,256.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0,0,0,1,0.0,1,0.0,0,0,0.0,0,1,0,0
45.0,132.0,16.0,2.7,6.4,681.0,2.397887323943662,0.58,0.775,0.1,1.5,0.0,1.4,384.0,155.0,0,1,0,1,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,1,0.0,1,0,1.0,0,1,0,0
53.0,103.0,16.5,5.8,0.89,128.0,0.522448979591837,0.23,0.556149732620321,0.1,1.0,0.0,9.3,687.0,104.0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1.0,1,0.0,0,0,0.0,0,0,0,0
65.0,1.0,16.0,5.8,9.8,664.0,2.32262569832402,0.28,0.663,0.1,2.0,1.0,4.6,416.0,132.6,0,0,0,0,0,1,0,0,0.4623430962343096,0.0,1.0,0.0,0.0,0,0,0,1,0.0,1,0.0,0,0,0.0,0,0,0,0
23.0,264.0,25.0,5.8,9.8,664.0,2.32262569832402,1.11,1.22448979591837,0.1,1.5,1.0,1.89,317.0,240.0,0,0,1,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,1.0,1,0.125,0,1,1.0,1,0,0,0
53.0,140.0,11.0,5.8,6.35,123.0,0.488095238095238,0.45,0.617777777777778,0.05,10.0,10.0,1.89,317.0,139.0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,1,0.0,1,0,1.0,0,0,0,0
